"hhnum" "region" "rural" "targetgroup" "hhsize" "inchhavg_r" "povthresh_hh" "selfemployhh" "housingown" "liqassets" "anyvehicle" "largeexp" "snapnowhh" "snapnowreport" "usdafoods" "wichh" "adltfscat" "foodsufficient" "grocerylistfreq" "primstoresnaptype" "primstoredist_d" "primstoretime_d" "dietstatuspr" "eathealthyhh" "nutritioneduc" "anyvegetarian" "totalpaid" "ebt_snapamt" "itemstot"
"31" 100784 "South" "Urban" 4 4 3890.6 1940.25 0 1 1 1 0 1 1 0 0 "Low" 1 5 "SM" 1.511 4.35 4 0 0 0 80.37 80.37 39
"32" 100785 "South" "Urban" 4 2 1239 1281.166667 1 1 1 1 1 1 1 0 -996 "very low" 4 4 "SS" 1.642 6.18 2 0 0 0 31.52 31.52 12
"33" 100832 "Northeast" "Urban" 4 4 2897 1973.416667 0 2 1 1 0 1 1 0 -996 "very low" 2 1 "SS" 5.872 15.15 4 0 0 0 7.01 7.01 4
"34" 100901 "South" "Rural" 4 6 1815.33 2556.5 1 2 1 1 0 1 1 0 -996 "High" 1 5 "SS" 7.574 12.12 4 1 0 0 23.07 23.07 12
"35" 100905 "Northeast" "Rural" 4 2 2740.656866 1318.75 0 1 1 0 0 1 1 0 1 "High" 1 3 "SS" 5.008 11.37 3 0 0 0 91.23 80.89 36
"36" 100920 "South" "Rural" 4 2 4200 1281.166667 0 1 1 1 0 1 1 0 -996 "Low" 2 5 "SS" 7.43 11.6 4 0 0 0 177.94 111.45 41
"37" 100927 "South" "Urban" 4 1 55 995.4166667 0 1 1 0 0 1 1 0 -996 "very low" 2 1 "SM" 1.48 6.77 2 0 0 0 2.28 2.28 3
"38" 100929 "South" "Urban" 4 4 2016 1940.25 0 3 1 1 0 1 1 0 -996 "High" 1 1 "SS" 0.191 1.42 3 1 0 0 81.46 81.46 41
"39" 100984 "Midwest" "Rural" 4 1 853 917.5833333 0 1 1 0 0 1 1 1 -996 "very low" 2 5 "CO" 0.224 1.22 3 0 0 0 21.74 21.74 8
"40" 101011 "Midwest" "Urban" 4 3 2574.55 1496.583333 0 2 1 1 0 1 1 0 -996 "High" 1 4 "SS" 2.546 7.38 3 0 1 0 10.6 10.6 6
"41" 101024 "South" "Urban" 4 2 583.4164098 1318.75 0 1 1 0 0 1 1 0 1 "very low" 1 1 "SM" 1.428 3.92 3 0 0 0 14.5 7.74 3
"42" 101063 "Midwest" "Urban" 4 3 1300 1540 0 1 1 1 1 1 1 0 -996 "Low" 2 5 "SS" 1.698 5.57 4 0 0 0 91.47 86.19 42
"43" 101081 "West" "Urban" 4 2 766.4775027 1318.75 0 1 1 1 0 1 1 0 1 "Low" 2 1 "SS" 3.859 9.08 5 1 0 0 42.12 36.49 13
"44" 101094 "West" "Urban" 4 4 3578.17 1973.416667 0 2 1 1 0 1 1 0 -996 "High" 2 5 "SM" 1.038 3.08 1 0 0 0 95.96 93.63 46
"45" 101095 "South" "Urban" 4 2 1680 1318.75 0 1 1 1 0 1 1 0 0 "Marginal" 1 3 "SS" 1.53 3.95 1 1 0 0 16.22 16.22 11
"46" 101112 "Northeast" "Urban" 4 4 1562.162 1947 0 1 1 0 0 1 1 0 -996 "very low" 1 4 "SS" 5.77 14.73 5 0 0 0 202.59 40.79 18
"47" 101148 "West" "Urban" 4 5 1502.9 2379.833333 0 2 4 1 0 1 1 0 -996 "Low" 2 3 "SM" 4.421 11.52 3 0 0 0 46.65 46.65 16
"48" 101151 "South" "Urban" 4 6 1805 2556.5 0 1 1 1 0 1 1 0 -996 "Low" 2 3 "SS" 1.66 5.62 5 0 0 0 265.97 165.49 112
"49" 101154 "West" "Urban" 4 4 5500 2005.75 0 2 1 1 0 1 1 0 1 "Marginal" 1 5 "SS" 1.942 6.27 3 1 1 0 67.09 67.09 20
"50" 101176 "Northeast" "Urban" 4 2 2371.662 1281.166667 0 1 1 1 0 1 1 0 -996 "High" 1 5 "SM" 22.509 34.7 4 1 0 0 254.75 254.75 81
"51" 101195 "West" "Rural" 4 2 878 1281.166667 0 2 1 1 1 1 1 0 -996 "Low" 2 5 "SM" 2.339 7.38 3 1 0 0 10.67 10.67 5
"52" 101203 "South" "Urban" 4 7 3412.262 3054.25 0 1 1 0 0 1 1 0 -996 "Low" 2 2 "SS" 3.746 5.88 5 0 0 0 37.55 37.55 11
"53" 101218 "Midwest" "Urban" 4 4 2620 1940.25 0 2 1 1 0 1 1 0 -996 "High" 1 1 "SS" 1.885 5.23 2 0 0 1 64.41 12.97 36
"54" 101219 "South" "Urban" 4 5 112 2283.333333 0 1 1 1 1 1 1 0 1 "Low" 2 1 "SS" 1.15 3.82 4 1 0 1 59.04 55.77 25
"55" 101269 "West" "Urban" 4 4 1931.028883 1940.25 0 1 1 1 0 1 1 0 -996 "High" 2 3 "SM" 0.59 2.32 3 0 0 0 36.65 16.65 8
"56" 101308 "West" "Urban" 4 3 3706 1496.583333 0 2 1 1 0 1 1 0 -996 "Marginal" 2 1 "SM" 4.942 11.15 3 0 0 0 116.89 116.89 55
"57" 101347 "West" "Urban" 4 4 718 1940.25 0 1 1 1 0 1 1 0 1 "High" 2 3 "SM" 3.698 7.53 3 1 0 1 81.86 79.57 41
"58" 101354 "West" "Urban" 4 4 1309.438166 1973.416667 0 2 1 1 0 1 1 0 -996 "Marginal" 2 3 "SM" 0.357 1.6 2 1 0 0 30 23 17
"59" 101451 "South" "Rural" 4 4 87.92221112 1940.25 0 1 1 0 0 1 1 0 1 "Marginal" 2 5 "SS" 6.559 11.55 5 1 0 0 205.62 205.62 74
"60" 101460 "West" "Urban" 4 3 1250 1540 0 1 1 1 0 1 1 0 0 "very low" 2 5 "SS" 3.009 8.77 5 0 0 0 43.92 42.88 20
"61" 101531 "South" "Urban" 4 2 1068 1156.5 0 1 1 1 1 1 1 1 -996 "High" 1 4 "SM" 0.157 1 2 1 0 0 44.63 44.03 21
"62" 101552 "Midwest" "Urban" 4 1 600 995.4166667 0 2 1 0 0 1 1 0 -996 "very low" 1 2 "SS" 4.768 10.17 2 1 0 0 36.13 36.13 16
"63" 101574 "Midwest" "Urban" 4 1 686 995.4166667 0 1 1 1 1 1 1 0 -996 "very low" 3 5 "SM" 1.333 5.28 4 1 0 0 26.18 21.83 17
"64" 101576 "Northeast" "Urban" 4 5 1516.67 2283.333333 0 1 1 0 0 1 1 0 -996 "High" 1 3 "SS" 7.187 20 5 0 0 0 205.63 205.63 58
"65" 101626 "South" "Urban" 4 2 1416 1281.166667 0 1 1 1 0 1 1 0 0 "very low" 3 3 "SM" 2.066 6.53 2 0 0 0 141.51 59.84 21
"66" 101631 "West" "Urban" 4 4 826.4009064 1940.25 0 1 1 0 0 1 1 0 -996 "Marginal" 1 3 "SS" 4.647 9.58 4 1 0 0 80.87 80.01 53
"67" 101652 "West" "Urban" 4 4 3921.91 1940.25 0 1 1 1 0 1 1 0 -996 "Marginal" 2 1 "SS" 3.932 11.13 3 0 0 0 21.67 21.67 14
"68" 101668 "Midwest" "Rural" 4 2 1150 1318.75 0 1 1 0 0 1 1 0 -996 "High" 1 2 "CO" 0.283 1.87 4 0 0 0 32.82 20.23 8
"69" 101678 "West" "Rural" 4 4 2761.2 1940.25 0 2 1 1 0 1 1 0 1 "Marginal" 1 5 "SM" 4.484 12.32 2 0 0 0 17.98 15.38 12
"70" 101682 "South" "Rural" 4 6 872.9825911 2556.5 0 3 1 1 0 1 1 0 1 "High" 1 3 "SS" 1.936 7.43 4 1 0 0 264.1 244.37 86
"71" 101784 "Midwest" "Urban" 4 6 2158.338 2556.5 1 2 1 1 1 1 1 0 -996 "Low" 2 4 "SM" 10.161 12.82 3 0 0 0 43.63 43.6 20
"72" 101794 "West" "Urban" 4 5 2256 2340.583333 0 1 1 1 1 1 1 0 -996 "High" 1 4 "SS" 1.727 4.9 3 1 1 0 31.78 31.78 5
"73" 101828 "Midwest" "Urban" 4 3 2100 1540 0 1 3 1 0 1 1 0 1 "High" 2 5 "SS" 0.772 3.27 2 1 0 0 49.57 49.57 16
"74" 101829 "West" "Urban" 4 3 768 1496.583333 0 2 1 1 1 1 1 0 -996 "very low" 2 4 "SS" 1.614 4.28 3 1 1 0 85.3 75.66 25
"75" 101840 "South" "Rural" 4 2 1500 1281.166667 0 2 1 1 1 1 1 0 -996 "Low" 1 5 "SM" 5.653 11.12 3 0 0 0 25.77 25.77 11
"76" 101856 "West" "Urban" 4 3 1533.325567 1540 0 1 1 1 0 1 1 0 1 "Marginal" 1 4 "SS" 0.846 3.75 3 1 0 0 174.64 173.81 55
"77" 101881 "Midwest" "Urban" 4 1 1219 995.4166667 0 1 1 0 0 1 1 0 -996 "High" 1 5 "SS" 1.074 5.22 2 1 0 0 47.16 22.5 18
"78" 101924 "Midwest" "Urban" 4 1 0 995.4166667 0 3 1 0 0 1 1 0 -996 "Marginal" 2 4 "SS" 0.959 4.53 3 0 0 0 33.02 31.43 9
"79" 101934 "South" "Urban" 4 4 2740.606876 2005.75 0 1 1 1 0 1 1 0 -996 "Low" 2 4 "SS" 6.744 14.58 4 0 0 0 82.3 73.64 23
"80" 102086 "South" "Urban" 4 5 2665 2283.333333 0 2 2 1 0 1 1 0 1 "Marginal" 1 4 "SM" 1.024 3.88 3 0 1 0 138.46 97.8 45
"81" 102144 "West" "Urban" 4 3 2500 1540 0 1 3 1 0 1 1 0 1 "High" 1 5 "SS" 3.313 7.55 3 1 0 0 177.12 76.96 31
"82" 102167 "Northeast" "Urban" 4 6 3486.09083 2556.5 0 1 1 0 0 1 1 0 -996 "Low" 2 5 "SS" 0.409 1.43 4 0 0 0 71.45 71.45 26
"83" 102193 "West" "Urban" 4 3 2520 1540 0 1 1 1 0 1 1 0 1 "High" 1 5 "SS" 0.769 3.55 3 0 0 0 9.02 9.02 6
"84" 102230 "Northeast" "Urban" 4 4 1629.950301 1940.25 0 1 1 0 0 1 1 0 -996 "Marginal" 2 3 "SM" 1.294 5.1 4 0 0 0 37.2 37.2 25
"85" 102283 "South" "Urban" 4 3 2400 1541.5 0 1 1 1 0 1 1 0 -996 "High" 2 1 "SS" 2.379 6.55 4 1 0 0 35.51 35.51 17
"86" 102317 "South" "Rural" 4 1 718 917.5833333 0 2 1 1 0 1 1 0 -996 "High" 1 4 "SM" 7.649 19.53 1 1 0 1 66.69 66.69 31
"87" 102318 "West" "Urban" 4 6 9800 2637.25 0 1 1 1 1 1 1 0 -996 "Marginal" 1 5 "SS" 13.445 17.95 4 0 0 0 150.48 150.48 71
"88" 102324 "Midwest" "Rural" 4 4 1737.735957 2005.75 0 2 1 1 0 1 1 0 1 "very low" 2 1 "SS" 14.648 13.95 5 0 0 1 168.6 168.6 49
"89" 102336 "West" "Urban" 4 4 3640 2005.75 1 2 2 1 0 1 1 0 0 "Marginal" 2 1 "SS" 2.674 8.85 5 0 0 0 115.12 115.12 36
"90" 102391 "Midwest" "Rural" 4 4 1149.4 2005.75 0 2 3 1 0 1 1 0 0 "High" 1 2 "SM" 3.47 7.08 4 0 0 0 18.24 18.24 8
"91" 102411 "Midwest" "Rural" 4 4 2100 1940.25 0 2 1 1 0 1 1 0 -996 "Low" 1 3 "SS" 10.975 18.42 4 0 0 0 155.7 120.11 58
"92" 102420 "West" "Urban" 4 2 1700 1156.5 0 2 1 1 1 1 1 0 -996 "Low" 2 2 "SM" 0.462 2 4 1 0 0 23.07 23.07 11
"93" 102442 "South" "Urban" 4 3 225 1540 0 1 1 0 0 1 1 0 -996 "Marginal" 2 1 "SS" 2.328 8.88 1 0 0 0 10.19 10.19 7
"94" 102457 "Midwest" "Urban" 4 1 960 995.4166667 0 1 1 1 0 1 1 0 -996 "High" 1 5 "SM" 1.336 4.2 3 1 0 0 127.77 127.77 58
"95" 102487 "Northeast" "Urban" 4 1 875.72972 995.4166667 0 3 1 0 0 1 1 0 -996 "High" 1 5 "SS" 4.967 13.05 3 0 0 0 18.54 18.54 6
"96" 102488 "South" "Urban" 4 3 698 1541.5 0 1 1 1 0 1 1 0 -996 "Marginal" 1 2 "SM" 1.216 4.68 4 1 0 1 90.62 90.62 39
"97" 102508 "Midwest" "Rural" 4 5 3221.33 2283.333333 0 2 1 1 0 1 1 0 -996 "Low" 2 1 "SM" 0.421 2.08 5 0 0 0 46.35 46.35 17
"98" 102521 "Midwest" "Urban" 4 1 760 995.4166667 0 1 1 0 0 1 1 0 0 "very low" 2 2 "SS" 1.895 4 4 0 0 1 194.53 194.53 82
"99" 102536 "South" "Rural" 4 4 600 1973.416667 0 1 1 1 1 1 1 0 -996 "very low" 2 1 "SM" 5.681 11.52 5 0 0 0 24.92 24.92 12
"100" 102539 "South" "Rural" 4 2 1282 1281.166667 0 2 1 1 0 1 1 0 -996 "very low" 2 3 "SS" 5.152 11.18 2 1 0 0 58.71 58.71 38
"101" 102541 "West" "Urban" 4 1 1406.648747 995.4166667 0 1 1 0 0 1 1 1 -996 "very low" 3 3 "SS" 0.342 1.63 3 1 0 0 89.38 89.38 13
"102" 102545 "Midwest" "Urban" 4 4 1396 1947 0 1 1 0 0 1 1 0 -996 "very low" 1 5 "SM" 1.479 4.92 5 1 0 0 59.54 59.54 21
"103" 102584 "South" "Urban" 4 3 645 1541.5 0 1 1 0 0 1 1 0 1 "Low" 2 3 "SM" 1.949 5.28 2 0 1 0 7.29 1.15 3
"104" 102590 "West" "Urban" 4 5 900 2248.416667 0 1 1 0 0 1 1 0 1 "Low" 2 1 "SM" 0.7 2.73 1 1 0 0 66.83 66.83 17
"105" 102593 "West" "Urban" 4 1 628 995.4166667 0 1 1 0 0 1 1 0 -996 "very low" 2 2 "SS" 15.455 23.85 3 1 0 0 16.62 16.62 8
"106" 102606 "West" "Rural" 4 3 3413.303316 1496.583333 0 2 3 1 0 1 1 0 -996 "very low" 2 4 "SM" 14.822 16.63 2 0 0 0 226.21 184.13 37
"107" 102620 "South" "Rural" 4 4 1362 1940.25 0 1 1 0 0 1 1 0 -996 "Marginal" 2 2 "SM" 1.673 2.18 4 0 0 0 38.47 38.47 3
"108" 102716 "South" "Urban" 4 4 3899.594946 1940.25 0 1 2 1 0 1 1 0 0 "High" 1 5 "SM" 4.348 10.27 4 0 0 0 56.72 56.72 27
"109" 102726 "South" "Urban" 4 4 741.1526549 1940.25 0 1 1 0 0 1 1 0 -996 "Marginal" 2 1 "SS" 1.753 8.27 3 0 0 0 510.19 495.2 214
"110" 102753 "South" "Rural" 4 4 959.8207455 1973.416667 0 2 1 1 0 1 1 0 -996 "Low" 2 1 "SS" 5.28 10.7 5 0 0 0 216.38 216.38 85
"111" 102761 "West" "Urban" 4 3 2068.738 1540 0 3 1 0 0 1 1 0 1 "High" 1 3 "SS" 1.393 4.65 3 1 0 0 35.78 35.78 17
"112" 102764 "West" "Urban" 4 4 1540 1940.25 1 1 1 1 0 1 1 0 -996 "Marginal" 1 5 "SS" 2.679 7.38 1 1 0 0 4.11 4.11 1
"113" 102778 "West" "Urban" 4 3 2700.865041 1496.583333 0 1 1 1 0 1 1 0 -996 "very low" 3 3 "SM" 0.28 1.33 4 0 0 0 136.89 81.58 67
"114" 102783 "West" "Urban" 4 2 2094 1281.166667 1 2 1 1 0 1 1 1 -996 "Low" 4 1 "SS" 2.069 10.45 1 0 0 0 50.37 27.42 9
"115" 102805 "West" "Rural" 4 5 3640 2414.5 0 2 3 1 0 1 1 1 -996 "Marginal" 2 4 "SS" 21.892 28.12 4 0 0 0 32.71 32.71 13
"116" 102875 "South" "Urban" 4 2 3000 1281.166667 0 1 1 0 0 1 1 0 -996 "High" 1 1 "SM" 0.44 2.68 4 1 0 0 31.06 31.06 10
"117" 102931 "South" "Rural" 4 4 1300 1940.25 0 1 1 0 0 1 1 0 -996 "Low" 2 5 "SS" 17.718 23.15 3 0 0 0 248.16 214.3 83
"118" 103057 "Northeast" "Urban" 4 3 2669.4 1496.583333 0 2 1 1 0 1 1 0 -996 "Low" 2 5 "SM" 1.663 4.2 3 1 0 0 65.79 65.79 20
"119" 103086 "Midwest" "Urban" 4 3 492 1541.5 0 1 1 0 0 1 1 0 1 "Marginal" 2 1 "SS" 3.552 9.8 4 0 0 0 461.98 460.19 301
"120" 103089 "Midwest" "Urban" 4 1 0 995.4166667 0 1 1 0 0 1 1 0 -996 "High" 1 3 "SS" 1.458 5.77 4 0 0 0 75.48 75.48 36
"121" 103094 "Northeast" "Rural" 4 2 980 1281.166667 0 1 1 0 0 1 1 0 -996 "very low" 3 3 "SS" 5.219 11.88 4 0 0 0 137.14 132.3 60
"122" 103126 "Northeast" "Urban" 4 4 1600 1940.25 0 2 2 1 0 1 1 0 0 "High" 1 3 "SM" 3.099 8.17 2 1 0 0 61.89 49.83 20
"123" 103128 "South" "Urban" 4 2 0 1281.166667 0 1 2 1 1 1 1 0 -996 "very low" 1 5 "SM" 0.739 3.2 1 0 0 0 91.15 91.15 44
"124" 103143 "Northeast" "Urban" 4 5 11048 2414.5 0 2 1 1 0 1 1 0 1 "Marginal" 2 5 "SS" 20.744 27.37 4 0 0 0 201.61 141 28
"125" 103156 "Northeast" "Urban" 4 1 739 995.4166667 0 2 1 1 1 1 1 0 -996 "Marginal" 2 3 "SS" 2.172 7.8 4 0 0 0 52.74 52.74 23
"126" 103164 "South" "Rural" 4 3 1971.985874 1496.583333 0 1 1 0 0 1 1 0 -996 "High" 2 2 "SS" 1.682 7.03 4 1 0 0 81.78 81.78 30
"127" 103200 "Midwest" "Rural" 4 4 2488.012435 1940.25 0 2 1 1 0 1 1 0 -996 "Low" 1 1 "SM" 6.747 14.47 5 0 0 0 35.14 35.08 18
"128" 103221 "South" "Rural" 4 5 2100 2283.333333 0 1 1 1 0 1 1 0 0 "Low" 2 4 "SS" 2.81 5.53 2 0 0 0 39.52 39.52 11
"129" 103274 "Northeast" "Urban" 4 4 3336.662 1940.25 1 1 1 1 0 1 1 0 -996 "High" 1 2 "SM" 16.661 27.67 3 0 0 0 105.44 105.44 74
"130" 103314 "South" "Urban" 4 2 1260 1318.75 0 1 1 1 0 1 1 0 -996 "Marginal" 2 1 "SM" 2.874 6.93 3 0 1 0 101.29 92.27 35
"131" 103333 "Midwest" "Urban" 4 2 1217.9 1156.5 0 2 1 1 0 1 1 0 -996 "High" 1 5 "SM" 1.147 3.9 3 1 0 0 84.17 84.17 31
"132" 103338 "South" "Urban" 4 4 1421 1947 0 2 1 1 0 1 1 0 -996 "Marginal" 2 2 "SS" 3.063 6.62 3 1 0 0 140.57 140.57 83
"133" 103347 "South" "Rural" 4 10 2243 3871.166667 1 2 1 0 1 1 1 0 -996 "Low" 1 2 "SS" 10.502 17.18 4 0 0 0 38.01 38.01 8
"134" 103382 "Northeast" "Urban" 4 4 1460 1947 0 1 1 0 0 1 1 0 1 "High" 2 3 "SS" 3.869 8.92 5 0 0 0 177.29 177.29 66
"135" 103392 "Midwest" "Urban" 4 5 1490.67 2414.5 0 1 1 0 0 1 1 0 -996 "very low" 3 3 "SS" 7.701 13.33 3 0 0 0 75.47 75.47 26
"136" 103395 "Midwest" "Rural" 4 5 1153 2414.5 1 3 1 0 0 1 1 0 1 "Marginal" 2 2 "SS" 1.789 5.62 2 0 0 0 155.42 138.52 53
"137" 103440 "West" "Urban" 4 2 1490 1281.166667 0 2 1 1 0 1 1 0 -996 "High" 2 1 "SM" 9.956 18.07 5 0 0 0 78.65 62.07 26
"138" 103469 "West" "Urban" 4 7 2000 3101.416667 0 2 1 1 0 1 1 0 -996 "Low" 2 2 "SM" 0.333 1.63 3 0 0 0 153.61 130.86 61
"139" 103498 "Northeast" "Urban" 4 4 1300 1940.25 0 1 1 0 0 1 1 0 1 "Low" 1 3 "SS" 1.238 5.38 4 1 0 0 101.03 100.83 48
"140" 103517 "South" "Urban" 4 1 925.1892498 995.4166667 0 1 1 0 0 1 1 0 -996 "High" 1 1 "SS" 1.594 3.65 5 0 0 0 117.56 117.56 34
"141" 103545 "Midwest" "Urban" 4 2 3780 1281.166667 1 1 1 0 0 1 1 0 -996 "High" 1 3 "SS" 11.11 13.82 3 0 0 0 73.69 73.69 27
"142" 103558 "South" "Urban" 4 1 0 995.4166667 0 3 1 1 0 1 1 0 -996 "Marginal" 1 4 "SM" 3.282 8.27 2 1 1 1 39.57 39.57 27
"143" 103564 "West" "Urban" 4 4 0 1940.25 0 1 1 1 0 1 1 0 1 "Marginal" 2 3 "SM" 0.646 2.72 4 0 0 0 99.39 99.39 39
"144" 103609 "Midwest" "Rural" 4 1 325 995.4166667 1 2 3 1 0 1 1 0 -996 "High" 1 4 "SS" 18.862 31.35 3 0 0 0 36.46 35.46 22
"145" 103635 "West" "Urban" 4 6 1466.8 2556.5 0 1 1 1 0 1 1 0 0 "Marginal" 4 1 "SS" 1.081 4.05 4 1 0 0 567.26 503.36 241
"146" 103679 "South" "Urban" 4 5 1442 2248.416667 0 1 1 0 0 1 1 0 -996 "Low" 2 1 "SS" 3.139 7.62 3 0 1 0 9.26 9.26 6
"147" 103713 "West" "Urban" 4 11 1233.33 3968.333333 0 1 1 1 0 1 1 0 1 "Low" 3 1 "SS" 1.386 4.03 3 1 0 0 972.86 856.72 256
"148" 103715 "South" "Rural" 4 5 8012.455528 2414.5 0 2 3 1 0 1 1 0 -996 "High" 2 4 "SS" 13.803 23.75 3 0 0 0 66.97 66.97 23
"149" 103728 "Northeast" "Rural" 4 2 3050.67 1281.166667 0 2 1 1 0 1 1 0 -996 "Marginal" 2 3 "SM" 5.852 13.68 5 0 0 0 151.62 125.41 51
"150" 103737 "Northeast" "Urban" 4 4 1750 1940.25 0 2 1 1 0 1 1 0 -996 "Marginal" 2 5 "SS" 4.854 11.67 4 0 0 0 18.66 18.66 11
"151" 103803 "South" "Urban" 4 4 250 1947 0 2 1 0 0 1 1 0 1 "Low" 2 3 "SS" 2.364 7.1 4 0 0 0 123.42 120.4 75
"152" 103823 "South" "Urban" 4 2 1260 1318.75 0 1 1 1 0 1 1 0 -996 "High" 1 3 "SS" 4.105 9.77 2 1 0 0 56.09 40.91 17
